City,lat,long,Max Temp °C,Humidity %,Cloudiness %,Wind Speed,Country,Date
bethel,41.3712,-73.414,17.19,81,0,1.54,US,1663385929
hithadhoo,-0.6,73.0833,27.57,73,78,2.68,MV,1663385929
ziway,7.9333,38.7167,16.54,81,30,3.19,ET,1663385929
yellowknife,62.456,-114.3525,10.31,87,40,3.6,CA,1663385929
muros,42.7762,-9.0603,17.31,82,100,3.54,ES,1663385930
bredasdorp,-34.5322,20.0403,12.1,89,78,1.26,ZA,1663385930
atuona,-9.8,-139.0333,24.89,72,7,8.42,PF,1663385930
albany,42.6001,-73.9662,13.29,86,76,1.72,US,1663385930
umba,66.6871,34.3429,9.56,94,100,6.07,RU,1663385930
saint-francois,46.4154,3.9054,7.69,93,0,3.09,FR,1663385931
tekeli,44.83,78.8239,18.6,15,10,2.03,KZ,1663385931
tuktoyaktuk,69.4541,-133.0374,4.0,93,100,2.06,CA,1663385931
upernavik,72.7868,-56.1549,0.94,80,9,6.88,GL,1663385931
lavrentiya,65.5833,-171.0,6.52,95,100,13.17,RU,1663385931
dawson creek,55.7666,-120.2362,8.8,93,75,6.69,CA,1663385932
male,4.1748,73.5089,27.51,69,4,2.45,MV,1663385916
aklavik,68.2191,-135.0107,3.54,95,98,3.31,CA,1663385932
adrar,20.5022,-10.0711,27.34,29,0,4.25,MR,1663385932
hermanus,-34.4187,19.2345,12.67,81,86,1.54,ZA,1663385932
khatanga,71.9667,102.5,-1.65,92,83,6.59,RU,1663385933
pietersburg,-23.9045,29.4688,10.47,58,0,2.57,ZA,1663385933
mataura,-46.1927,168.8643,8.04,48,49,0.58,NZ,1663385933
puerto ayora,-0.7393,-90.3518,19.19,91,11,0.89,EC,1663385933
arraial do cabo,-22.9661,-42.0278,18.97,74,100,4.75,BR,1663385934
emerald,-23.5333,148.1667,30.53,20,26,4.33,AU,1663385934
tecoanapa,16.5167,-98.75,25.42,88,100,0.77,MX,1663385934
ushuaia,-54.8,-68.3,4.81,65,75,1.03,AR,1663385934
mujiayingzi,42.1167,118.7833,29.82,24,0,5.28,CN,1663385935
alice springs,-23.7,133.8833,22.75,25,0,3.6,AU,1663385867
east london,-33.0153,27.9116,17.01,75,100,5.47,ZA,1663385935
busselton,-33.65,115.3333,15.47,78,100,5.37,AU,1663385935
bilibino,68.0546,166.4372,1.88,72,100,4.84,RU,1663385935
kapaa,22.0752,-159.319,28.99,77,100,2.57,US,1663385935
kropotkin,45.4375,40.5756,20.73,83,61,4.3,RU,1663385936
alberobello,40.7859,17.2372,21.51,86,100,5.3,IT,1663385936
kabanjahe,3.1001,98.4908,25.03,57,45,1.68,ID,1663385936
liberal,37.0431,-100.921,27.08,50,0,8.75,US,1663385936
castro,-24.7911,-50.0119,9.57,88,84,4.03,BR,1663385936
vila velha,-20.3297,-40.2925,18.97,97,100,5.81,BR,1663385937
qaanaaq,77.484,-69.3632,-3.4,78,37,3.41,GL,1663385937
rhondda,51.659,-3.4489,7.05,84,6,2.08,GB,1663385937
rikitea,-23.1203,-134.9692,22.44,73,0,7.57,PF,1663385937
cape town,-33.9258,18.4232,13.95,85,75,1.03,ZA,1663385807
punta arenas,-53.15,-70.9167,4.06,75,75,6.69,CL,1663385938
hilo,19.7297,-155.09,29.6,76,75,5.14,US,1663385938
kruisfontein,-34.0033,24.7314,14.38,89,100,4.28,ZA,1663385938
talnakh,69.4865,88.3972,0.67,78,88,2.17,RU,1663385939
avarua,-21.2078,-159.775,26.03,65,20,6.69,CK,1663385939
buin,-33.7333,-70.75,12.63,96,100,0.62,CL,1663385939
ilulissat,69.2167,-51.1,3.01,93,20,2.57,GL,1663385939
lima,-12.0432,-77.0282,14.94,85,40,3.09,PE,1663385806
san cristobal,7.7669,-72.225,23.1,94,97,1.07,VE,1663385940
